year,month,day,decimalLatitude,decimalLongitude,individualCount
2024.0,7.0,10.0,44.873682,-110.208255,
2024.0,7.0,19.0,43.731095,-103.339103,
2024.0,7.0,3.0,44.622639,-110.432839,
2024.0,7.0,16.0,44.660687,-110.463775,
2024.0,7.0,15.0,44.930343,-110.315629,
2024.0,7.0,15.0,44.661183,-110.464148,
2024.0,7.0,24.0,49.585658,-113.863755,
2024.0,7.0,9.0,43.866402,-102.268301,
2024.0,7.0,4.0,44.64599,-110.458705,
2024.0,7.0,21.0,36.470257,-112.125911,
2024.0,7.0,25.0,40.950289,-112.199535,
2024.0,7.0,2.0,44.898646,-110.240053,
2024.0,7.0,10.0,44.869281,-110.167096,
2024.0,7.0,22.0,59.940535,-127.468338,
2024.0,7.0,3.0,44.726903,-110.687583,
2024.0,7.0,22.0,53.595249,-112.832596,
2024.0,7.0,26.0,59.967095,-128.023117,
2024.0,7.0,7.0,44.690432,-110.437619,
2024.0,7.0,3.0,44.759967,-110.570426,
2024.0,7.0,5.0,50.222194,-104.029428,
2024.0,7.0,18.0,44.925788,-110.318337,
2024.0,7.0,2.0,44.918233,-110.421373,
2024.0,7.0,17.0,46.9797,-103.535885,
2024.0,7.0,18.0,43.805147,-110.529204,
2024.0,8.0,2.0,43.811767,-102.15573,
2024.0,8.0,20.0,44.464409,-110.835607,
2024.0,8.0,28.0,43.759955,-103.370217,
2024.0,8.0,29.0,44.648933,-110.936508,
2024.0,8.0,7.0,43.914388,-102.337741,
2024.0,8.0,23.0,43.87547,-102.255395,
2024.0,8.0,27.0,44.480805,-110.85382,
2024.0,8.0,27.0,43.666737,-110.665672,
2024.0,8.0,10.0,37.484,-94.702788,
2024.0,8.0,3.0,44.891812,-110.230705,
2024.0,8.0,16.0,46.98019,-103.48035,
2024.0,8.0,13.0,49.123539,-113.866753,
2024.0,8.0,5.0,43.89409,-102.414381,
2024.0,8.0,20.0,43.811967,-102.157175,
2024.0,8.0,4.0,44.726118,-110.459537,
2024.0,8.0,25.0,44.735907,-110.501131,
2024.0,8.0,20.0,41.889017,-89.344785,
2024.0,8.0,9.0,44.900079,-110.372099,
2024.0,8.0,9.0,43.767925,-110.669025,
2024.0,8.0,3.0,47.625778,-103.385553,
2024.0,8.0,15.0,53.605475,-112.848587,
2024.0,8.0,25.0,44.927364,-110.734152,
2024.0,8.0,25.0,44.733474,-110.510365,
2024.0,8.0,15.0,43.625451,-110.719275,
2024.0,8.0,7.0,45.245587,-110.837312,
2024.0,8.0,15.0,44.466949,-110.837433,
2024.0,8.0,2.0,44.675175,-110.482139,
2024.0,8.0,31.0,44.636528,-110.451012,
2024.0,8.0,28.0,48.002198,-108.011003,
2024.0,8.0,14.0,46.93418,-103.410238,
2024.0,8.0,10.0,43.628588,-103.43602,
2024.0,8.0,18.0,43.771806,-102.294142,
2024.0,8.0,24.0,44.904136,-110.11709,
2024.0,8.0,15.0,48.030372,-108.043578,
2024.0,8.0,4.0,44.592029,-110.561249,
2024.0,8.0,20.0,44.868521,-110.174643,
2024.0,8.0,8.0,61.03302,-123.386118,
2024.0,8.0,12.0,44.677517,-110.485687,
2024.0,8.0,13.0,46.978965,-103.538709,
2024.0,8.0,10.0,44.618863,-110.42603,
2024.0,8.0,4.0,44.889667,-110.139039,
2024.0,8.0,15.0,46.902378,-103.376113,
2024.0,8.0,25.0,44.916836,-110.723267,
2024.0,8.0,25.0,44.576753,-110.16871,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,24.0,44.920202,-110.10299,
2024.0,8.0,14.0,43.555185,-103.462171,
2024.0,8.0,12.0,43.750133,-103.362495,
2024.0,8.0,14.0,43.722066,-103.409634,
2024.0,8.0,31.0,44.620287,-110.856308,
2024.0,8.0,24.0,44.585944,-110.384666,
2024.0,8.0,27.0,44.558625,-110.333228,
2024.0,8.0,26.0,44.888149,-110.732794,
2024.0,8.0,23.0,40.963702,-112.192049,
2024.0,8.0,14.0,43.811983,-102.157025,
2024.0,8.0,27.0,43.715438,-102.338129,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,5.0,44.703863,-110.64117,
2024.0,8.0,31.0,47.339972,-114.245433,
2024.0,8.0,18.0,60.042225,-122.97895,
2024.0,8.0,30.0,46.94,-103.54,
2024.0,8.0,16.0,46.980221,-103.480388,
2024.0,8.0,9.0,41.046056,-112.238747,
2024.0,8.0,24.0,44.648959,-110.941237,
2024.0,8.0,1.0,43.653068,-110.780949,
2024.0,8.0,3.0,44.86836,-110.17017,
2024.0,8.0,31.0,44.921313,-110.441162,
2024.0,8.0,20.0,43.717153,-103.345084,
2024.0,8.0,13.0,43.872859,-102.243779,
2024.0,8.0,15.0,46.923163,-103.40252,
2024.0,8.0,10.0,41.879299,-89.357216,
2024.0,8.0,24.0,44.876913,-110.152093,
2024.0,8.0,21.0,44.652562,-110.464263,
2024.0,8.0,5.0,46.958643,-103.399726,
2024.0,8.0,15.0,46.912625,-103.375205,
2024.0,8.0,5.0,44.635437,-110.49568,
2024.0,8.0,12.0,43.741705,-103.358917,
2024.0,8.0,26.0,49.178949,-107.583304,
2024.0,8.0,3.0,43.812157,-110.526439,
2024.0,8.0,28.0,43.544673,-103.48127,
2024.0,8.0,12.0,44.870216,-110.296584,
2024.0,8.0,2.0,44.91477,-110.26898,
2024.0,8.0,14.0,43.722066,-103.409634,
2024.0,8.0,16.0,44.876238,-110.211525,
2024.0,8.0,14.0,44.637087,-110.451583,
2024.0,8.0,26.0,44.976241,-110.690546,
2024.0,8.0,19.0,44.706293,-110.623296,
2024.0,8.0,31.0,44.620755,-110.856583,
2024.0,8.0,4.0,39.819491,-104.827737,
2024.0,8.0,24.0,43.718974,-103.414195,
2024.0,8.0,5.0,44.794892,-110.739792,
2024.0,8.0,1.0,44.916803,-110.418488,
2024.0,8.0,18.0,43.675315,-103.469375,
2024.0,8.0,4.0,39.819491,-104.827737,
2024.0,8.0,8.0,44.633701,-110.442183,
2024.0,8.0,3.0,44.94078,-110.63368,
2024.0,8.0,2.0,43.904058,-102.298831,
2024.0,8.0,20.0,43.592313,-103.48722,
2024.0,8.0,26.0,44.584865,-110.84395,
2024.0,8.0,5.0,44.527475,-110.481346,
2024.0,8.0,12.0,43.572439,-103.441564,
2024.0,8.0,26.0,44.986376,-110.690387,
2024.0,8.0,11.0,43.807619,-103.428393,
2024.0,8.0,10.0,59.263817,-112.448233,
2024.0,8.0,7.0,44.909482,-110.260461,
2024.0,8.0,12.0,43.572439,-103.441564,
2024.0,8.0,9.0,44.916963,-110.396884,
2024.0,8.0,26.0,44.924756,-110.420089,
2024.0,8.0,21.0,44.655762,-110.463768,
2024.0,8.0,9.0,43.822253,-110.507723,
2024.0,8.0,5.0,44.60845,-110.485188,
2024.0,8.0,6.0,47.77238,-107.773378,
2024.0,8.0,11.0,49.144814,-107.52018,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,19.0,41.011211,-112.193818,
2024.0,8.0,25.0,44.620245,-110.427136,
2024.0,8.0,5.0,47.371371,-114.260105,
2024.0,8.0,7.0,44.725052,-110.492993,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,18.0,44.870466,-110.178783,
2024.0,8.0,27.0,34.441856,-101.078133,
2024.0,8.0,31.0,44.460675,-110.832992,
2024.0,8.0,27.0,41.066257,-112.230398,
2024.0,8.0,10.0,44.657143,-110.463467,
2024.0,8.0,31.0,44.576817,-110.827583,
2024.0,8.0,3.0,44.874061,-110.213391,
2024.0,8.0,23.0,45.008426,-110.512976,
2024.0,8.0,3.0,44.8693,-110.16602,
2024.0,8.0,15.0,44.917488,-110.12303,
2024.0,8.0,3.0,43.806728,-110.528122,
2024.0,8.0,28.0,53.611256,-112.847747,
2024.0,8.0,20.0,43.881622,-102.263747,
2024.0,8.0,4.0,44.746937,-110.71353,
2024.0,8.0,25.0,44.420871,-110.390681,
2024.0,8.0,3.0,44.874061,-110.213391,
2024.0,8.0,28.0,46.94818,-103.534072,
2024.0,8.0,6.0,43.741721,-103.48559,
2024.0,8.0,20.0,41.889193,-89.344678,
