Year,Population,zscore,Smoothed
1970-01-01,25922.44897959184,-0.623998005964253,25922.448979591838
1971-01-01,26058.367346938776,-0.6239907772917148,26058.36734693878
1972-01-01,26194.285714285717,-0.6239835486191766,26194.285714285717
1973-01-01,26330.20408163265,-0.6239763199466385,26330.204081632655
1974-01-01,26466.122448979597,-0.6239690912741003,26466.122448979593
1975-01-01,26602.04081632653,-0.6239618626015621,26602.04081632653
1976-01-01,26737.95918367347,-0.6239546339290238,26737.95918367347
1977-01-01,26873.877551020407,-0.6239474052564856,26873.877551020407
1978-01-01,27009.795918367345,-0.6239401765839474,27009.79591836735
1979-01-01,27145.714285714286,-0.6239329479114093,27145.714285714283
1980-01-01,27281.632653061224,-0.6239257192388711,27281.632653061224
1981-01-01,27417.55102040816,-0.6239184905663329,27417.55102040816
1982-01-01,27553.469387755104,-0.6239112618937946,27553.4693877551
1983-01-01,27689.38775510204,-0.6239040332212565,27689.38775510204
1984-01-01,27825.30612244898,-0.6238968045487183,27825.306122448976
1985-01-01,27961.22448979592,-0.6238895758761801,27961.224489795917
1986-01-01,28097.14285714285,-0.6238823472036419,28097.14285714286
1987-01-01,28233.0612244898,-0.6238751185311037,28233.061224489793
1988-01-01,28368.97959183673,-0.6238678898585654,28368.979591836734
1989-01-01,28504.897959183672,-0.6238606611860273,28504.897959183676
1990-01-01,28640.81632653061,-0.6238534325134891,28640.81632653061
1991-01-01,28776.73469387755,-0.6238462038409509,28776.73469387755
1992-01-01,28912.65306122449,-0.6238389751684127,28912.65306122449
1993-01-01,29048.571428571428,-0.6238317464958746,29048.571428571428
1994-01-01,29184.489795918365,-0.6238245178233364,29184.489795918365
1995-01-01,29320.408163265307,-0.6238172891507981,29320.408163265303
1996-01-01,29456.326530612245,-0.6238100604782599,29456.32653061225
1997-01-01,29592.244897959183,-0.6238028318057217,29592.244897959183
1998-01-01,29728.163265306124,-0.6237956031331835,29728.163265306124
1999-01-01,29864.081632653066,-0.6237883744606454,35366.30972388956
2000-01-01,30000.0,-0.6237811457881072,46506.684273709485
2001-01-01,57647.05882352941,-0.6223107666275823,63149.28691476591
2002-01-01,85294.11764705883,-0.6208403874670575,85294.11764705883
2003-01-01,112941.17647058824,-0.6193700083065327,112941.17647058824
2004-01-01,140588.23529411765,-0.6178996291460077,140588.23529411765
2005-01-01,168235.29411764705,-0.616429249985483,168235.29411764705
2006-01-01,195882.35294117648,-0.6149588708249581,195882.35294117645
2007-01-01,223529.4117647059,-0.6134884916644333,223529.41176470587
2008-01-01,251176.4705882353,-0.6120181125039085,251176.47058823527
2009-01-01,278823.5294117647,-0.6105477333433836,278823.5294117647
2010-01-01,306470.5882352941,-0.6090773541828587,306470.5882352941
2011-01-01,334117.64705882355,-0.6076069750223339,334117.6470588235
2012-01-01,361764.70588235295,-0.606136595861809,361764.70588235295
2013-01-01,389411.7647058824,-0.6046662167012842,389411.7647058824
2014-01-01,417058.8235294118,-0.6031958375407594,417058.8235294118
2015-01-01,444705.8823529412,-0.6017254583802346,444705.8823529412
2016-01-01,472352.9411764706,-0.6002550792197097,
2017-01-01,500000.0,-0.5987847000591848,
